Features,ICC_value,p_value,Repeatability
original_gldm_LowGrayLevelEmphasis,0.708977235196321,8.27973588425554e-05,Poor
original_gldm_SmallDependenceEmphasis,0.958853573138826,3.36779018814828e-13,Excellent
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.689997487192764,0.0001457528568596,Poor
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.710198522820068,7.97192021310944e-05,Poor
original_ngtdm_Complexity,0.790382825494153,3.98402696121465e-06,Good
original_ngtdm_Contrast,0.94164256722008,1.21900973115347e-11,Excellent
log.sigma.3.0.mm.3D_firstorder_10Percentile,0.955058211194818,8.3563905903936e-13,Excellent
log.sigma.3.0.mm.3D_firstorder_90Percentile,0.911284981708568,8.58842796336892e-10,Excellent
log.sigma.3.0.mm.3D_firstorder_Entropy,0.932751190943549,5.18305708766169e-11,Excellent
log.sigma.3.0.mm.3D_firstorder_InterquartileRange,0.942605859657697,1.0281673987632599e-11,Excellent
log.sigma.3.0.mm.3D_firstorder_Kurtosis,0.964768687354158,6.78482120771473e-14,Excellent
log.sigma.3.0.mm.3D_firstorder_Maximum,0.802328137491803,2.28279364651232e-06,Good
log.sigma.3.0.mm.3D_firstorder_MeanAbsoluteDeviation,0.974463508194283,2.4180803260411603e-15,Excellent
log.sigma.3.0.mm.3D_firstorder_Mean,0.921009778471274,2.6571818501056e-10,Excellent
log.sigma.3.0.mm.3D_firstorder_Median,0.960228992602424,2.37182636753244e-13,Excellent
log.sigma.3.0.mm.3D_firstorder_Minimum,0.962243755059165,1.38701054091615e-13,Excellent
log.sigma.3.0.mm.3D_firstorder_Range,0.953595061237195,1.16186377599955e-12,Excellent
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,0.958890076085213,3.33711712798237e-13,Excellent
log.sigma.3.0.mm.3D_firstorder_RootMeanSquared,0.921069911608666,2.6367663863486003e-10,Excellent
log.sigma.3.0.mm.3D_firstorder_Skewness,0.9444572768655,7.3502042821844e-12,Excellent
log.sigma.3.0.mm.3D_firstorder_Uniformity,0.924047329222359,1.78575438651991e-10,Excellent
log.sigma.3.0.mm.3D_firstorder_Variance,0.988704523201438,4.923552145334481e-19,Excellent
log.sigma.3.0.mm.3D_glcm_Autocorrelation,0.90784641300754,1.25964273796099e-09,Excellent
log.sigma.3.0.mm.3D_glcm_ClusterProminence,0.962216549622043,1.39736390783867e-13,Excellent
log.sigma.3.0.mm.3D_glcm_ClusterShade,0.975235890780735,1.7577862732736601e-15,Excellent
log.sigma.3.0.mm.3D_glcm_ClusterTendency,0.956314919716612,6.24062504611672e-13,Excellent
log.sigma.3.0.mm.3D_glcm_Contrast,0.927032748415779,1.18868875971174e-10,Excellent
log.sigma.3.0.mm.3D_glcm_Correlation,0.865331655157117,5.51942252131425e-08,Good
log.sigma.3.0.mm.3D_glcm_DifferenceAverage,0.939847007547333,1.66168298367116e-11,Excellent
log.sigma.3.0.mm.3D_glcm_DifferenceEntropy,0.931722010307343,6.04987360006575e-11,Excellent
log.sigma.3.0.mm.3D_glcm_DifferenceVariance,0.901762694122477,2.3945896138263603e-09,Excellent
log.sigma.3.0.mm.3D_glcm_Id,0.956122234710185,6.52992223775103e-13,Excellent
log.sigma.3.0.mm.3D_glcm_Idm,0.957058929242576,5.22875784257935e-13,Excellent
log.sigma.3.0.mm.3D_glcm_Idmn,0.927795866527815,1.06828026683111e-10,Excellent
log.sigma.3.0.mm.3D_glcm_Idn,0.942305654617046,1.08453544577423e-11,Excellent
log.sigma.3.0.mm.3D_glcm_Imc1,0.873642736015333,2.94291797413468e-08,Good
log.sigma.3.0.mm.3D_glcm_Imc2,0.926188910086068,1.33590786428493e-10,Excellent
log.sigma.3.0.mm.3D_glcm_InverseVariance,0.950524716767796,2.24436529103325e-12,Excellent
log.sigma.3.0.mm.3D_glcm_JointAverage,0.868895653417642,4.23682838526124e-08,Good
log.sigma.3.0.mm.3D_glcm_JointEnergy,0.914631096596747,5.82728224259334e-10,Excellent
log.sigma.3.0.mm.3D_glcm_JointEntropy,0.904419860292498,1.8183176411961902e-09,Excellent
log.sigma.3.0.mm.3D_glcm_MCC,0.761546022776167,1.33511128584015e-05,Good
log.sigma.3.0.mm.3D_glcm_MaximumProbability,0.858388236942493,9.04884287823788e-08,Good
log.sigma.3.0.mm.3D_glcm_SumAverage,0.868895653558438,4.23682834035734e-08,Good
log.sigma.3.0.mm.3D_glcm_SumEntropy,0.917450353884432,4.15063913599375e-10,Excellent
log.sigma.3.0.mm.3D_glcm_SumSquares,0.95356694425082,1.16912374290746e-12,Excellent
log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,0.921936962290355,2.35763936578633e-10,Excellent
log.sigma.3.0.mm.3D_glrlm_GrayLevelVariance,0.949975975367795,2.51351026569877e-12,Excellent
log.sigma.3.0.mm.3D_glrlm_HighGrayLevelRunEmphasis,0.901918861889572,2.3566681486325903e-09,Excellent
log.sigma.3.0.mm.3D_glrlm_LongRunEmphasis,0.96332309750114,1.02800677687721e-13,Excellent
log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,0.922612059079592,2.15899639897162e-10,Excellent
log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,0.556764926469876,0.0030605361226959,Poor
log.sigma.3.0.mm.3D_glrlm_LowGrayLevelRunEmphasis,0.635471548762425,0.0006004304015554,Poor
log.sigma.3.0.mm.3D_glrlm_RunEntropy,0.861506302873782,7.2712078585784e-08,Good
log.sigma.3.0.mm.3D_glrlm_RunLengthNonUniformityNormalized,0.963724753396486,9.174691979514051e-14,Excellent
log.sigma.3.0.mm.3D_glrlm_RunPercentage,0.966929715038557,3.52561748313134e-14,Excellent
log.sigma.3.0.mm.3D_glrlm_RunVariance,0.961785766368387,1.57086208256338e-13,Excellent
log.sigma.3.0.mm.3D_glrlm_ShortRunEmphasis,0.963185983739354,1.06840373971038e-13,Excellent
log.sigma.3.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis,0.898120594901524,3.44916476967974e-09,Good
log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,0.643842341488891,0.0004917553493529,Poor
log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,0.90158745294575,2.4377924546359702e-09,Excellent
log.sigma.3.0.mm.3D_glszm_GrayLevelVariance,0.929121490927827,8.84899961619346e-11,Excellent
log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis,0.833047061509861,4.50633479930377e-07,Good
log.sigma.3.0.mm.3D_glszm_LargeAreaEmphasis,0.842942050955752,2.48974754387676e-07,Good
