Features,ICC_value,p_value,Repeatability
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.84939746679055,1.65341551479681e-07,Good
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.841476078732341,2.72536344891538e-07,Good
original_ngtdm_Complexity,0.260426213100869,0.11678283701455,Poor
original_ngtdm_Contrast,0.858881336943382,8.74423568852275e-08,Good
log.sigma.3.0.mm.3D_firstorder_10Percentile,0.943788530976814,8.30841646444392e-12,Excellent
log.sigma.3.0.mm.3D_firstorder_90Percentile,0.827270383335647,6.26143686745268e-07,Good
log.sigma.3.0.mm.3D_firstorder_Entropy,0.768238177508883,1.02399008225454e-05,Good
log.sigma.3.0.mm.3D_firstorder_InterquartileRange,0.907061953071758,1.3717837866374801e-09,Excellent
log.sigma.3.0.mm.3D_firstorder_Kurtosis,0.961877975840626,1.53217148787376e-13,Excellent
log.sigma.3.0.mm.3D_firstorder_Maximum,0.857233562962591,9.79940985819652e-08,Good
log.sigma.3.0.mm.3D_firstorder_MeanAbsoluteDeviation,0.914550391655844,5.88314092285318e-10,Excellent
log.sigma.3.0.mm.3D_firstorder_Mean,0.944921254859133,6.7450986472424396e-12,Excellent
log.sigma.3.0.mm.3D_firstorder_Median,0.957367510006476,4.85438361151183e-13,Excellent
log.sigma.3.0.mm.3D_firstorder_Minimum,0.839319120754617,3.10808393595399e-07,Good
log.sigma.3.0.mm.3D_firstorder_Range,0.866895248323344,4.9193792807621e-08,Good
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,0.909977826215221,9.95233531174688e-10,Excellent
log.sigma.3.0.mm.3D_firstorder_RootMeanSquared,0.94489683602366,6.77579076601732e-12,Excellent
log.sigma.3.0.mm.3D_firstorder_Skewness,0.939386336805486,1.79639103091488e-11,Excellent
log.sigma.3.0.mm.3D_firstorder_Uniformity,0.837455412788512,3.47645448011586e-07,Good
log.sigma.3.0.mm.3D_firstorder_Variance,0.90890293567081,1.12160418084005e-09,Excellent
log.sigma.3.0.mm.3D_glcm_Autocorrelation,0.894117368571421,5.072084971547231e-09,Good
log.sigma.3.0.mm.3D_glcm_ClusterProminence,0.544645472757115,0.0038009899259217,Poor
log.sigma.3.0.mm.3D_glcm_ClusterShade,0.798588815712297,2.72828596143079e-06,Good
log.sigma.3.0.mm.3D_glcm_ClusterTendency,0.631570407651795,0.0006576928723387,Poor
log.sigma.3.0.mm.3D_glcm_Contrast,0.63297830927895,0.0006365129161075,Poor
log.sigma.3.0.mm.3D_glcm_Correlation,0.402768290745912,0.0292811193483234,Poor
log.sigma.3.0.mm.3D_glcm_DifferenceAverage,0.76362171551095,1.23077174433612e-05,Good
log.sigma.3.0.mm.3D_glcm_DifferenceEntropy,0.781193977739154,5.9717829308843e-06,Good
log.sigma.3.0.mm.3D_glcm_DifferenceVariance,0.456540154471305,0.0148465802993659,Poor
log.sigma.3.0.mm.3D_glcm_Id,0.860292027935778,7.92259547617536e-08,Good
log.sigma.3.0.mm.3D_glcm_Idm,0.869026252958528,4.19535858022225e-08,Good
log.sigma.3.0.mm.3D_glcm_Idmn,0.658334465734419,0.0003431119734281,Poor
