X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,spearman,one-sided,42,0.3963212057369743,[0.11 0.62],0.15707049811680912,0.11384334417408148,0.4192770440112823,0.004684237314074364,0.8425369570940733
original_shape_MeshVolume,wavelet-HHL_gldm_LowGrayLevelEmphasis,spearman,one-sided,42,-0.5692407422413095,[-0.74 -0.32],0.32403502262743694,0.28937015199294647,-0.6463989051691703,4.177160825975196e-05,0.9925845902803915
original_shape_MeshVolume,wavelet-HHL_gldm_SmallDependenceEmphasis,spearman,one-sided,42,-0.6706911919617535,[-0.81 -0.46],0.4498266749750777,0.4216126583071329,-0.8119983851990061,5.871663956696453e-07,0.9997477718286533
original_shape_MeshVolume,wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,spearman,one-sided,42,-0.6214245198930395,[-0.78 -0.39],0.3861684339242946,0.3546898920742584,-0.7273224515348581,5.618148637319678e-06,0.9983895311515639
original_shape_MeshVolume,wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,spearman,one-sided,42,-0.6995381249493557,[-0.83 -0.5 ],0.48935358825766045,0.4631665927836943,-0.8663954638543022,1.2721625806872055e-07,0.9999333513489066
original_shape_MeshVolume,wavelet-HHL_ngtdm_Busyness,spearman,one-sided,42,0.9906004375658376,[0.98 0.99],0.9812892269056289,0.9803297000802765,2.6777642304963454,1.7494647049548346e-36,1.0
original_shape_MeshVolume,wavelet-HHL_ngtdm_Coarseness,spearman,one-sided,42,-0.998541447208492,[-1. -1.],0.9970850217932297,0.996935535731344,-3.611364105834914,1.2316177374433988e-52,1.0
original_shape_MeshVolume,wavelet-HHL_ngtdm_Complexity,spearman,one-sided,42,-0.2329632930880804,[-0.5   0.08],0.05427189592644285,0.0057730187944654565,-0.23732053715948914,0.06880814234260835,0.4428213715771249
original_shape_MeshVolume,wavelet-HHL_ngtdm_Contrast,spearman,one-sided,42,-0.7016449234259785,[-0.83 -0.51],0.4923055985694472,0.46626998823967525,-0.8705331774562686,1.1297760495585954e-07,0.9999400390966905
original_shape_MeshVolume,wavelet-HHL_ngtdm_Strength,spearman,one-sided,42,-0.9719633741187911,[-0.98 -0.95],0.944712800628385,0.9418775596349689,-2.126636619720676,4.58569076604011e-27,1.0
