X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,wavelet-HLL_glszm_ZoneVariance,spearman,one-sided,42,0.43019204278421525,[0.15 0.65],0.18506519367485608,0.14327366514536155,0.460132311498215,0.0022304825279283215,0.8966442849234295
original_shape_MeshVolume,wavelet-HLL_gldm_DependenceEntropy,spearman,one-sided,42,-0.42840936715014993,[-0.65 -0.14],0.18353458586199198,0.14166456462414545,-0.4579468575829401,0.0023236802674793298,0.8941447810575227
original_shape_MeshVolume,wavelet-HLL_gldm_DependenceNonUniformity,spearman,one-sided,42,0.9291791589012237,[0.87 0.96],0.8633739093363856,0.856367443148508,1.6523482809886425,3.4523705002661164e-19,1.0
original_shape_MeshVolume,wavelet-HLL_gldm_DependenceNonUniformityNormalized,spearman,one-sided,42,-0.4104205493882182,[-0.64 -0.12],0.16844502736012687,0.12580118260936413,-0.4361168568557232,0.003470669664931872,0.8667540592489387
original_shape_MeshVolume,wavelet-HLL_gldm_DependenceVariance,spearman,one-sided,42,0.4444534478567377,[0.16 0.66],0.19753886731174183,0.15638701435336966,0.4777669422065234,0.0015949387990737026,0.9152596395506815
original_shape_MeshVolume,wavelet-HLL_gldm_GrayLevelNonUniformity,spearman,one-sided,42,0.9382545984928289,[0.89 0.97],0.8803216915929395,0.8741843424438595,1.7232618261889616,2.419685939574265e-20,1.0
original_shape_MeshVolume,wavelet-HLL_gldm_GrayLevelVariance,spearman,one-sided,42,-0.4566080544526375,[-0.67 -0.18],0.2084909153910228,0.16790070592389583,-0.4930174434194956,0.0011847882433920172,0.9292244433649524
original_shape_MeshVolume,wavelet-HLL_gldm_HighGrayLevelEmphasis,spearman,one-sided,42,-0.12600275504416175,[-0.41  0.19],0.01587669427871903,-0.03459116755314162,-0.1266760160118843,0.21327064276479835,0.19963083300272066
original_shape_MeshVolume,wavelet-HLL_gldm_LargeDependenceEmphasis,spearman,one-sided,42,0.4308402884693299,[0.15 0.65],0.18562335416833542,0.14386044925389108,0.4609280410732876,0.002197409235782924,0.8975436252292881
original_shape_MeshVolume,wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,spearman,one-sided,42,0.367960457013208,[0.07 0.6 ],0.1353948979253689,0.09105617474205452,0.3860621159329911,0.008254205996014561,0.7867956757644536
original_shape_MeshVolume,wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,spearman,one-sided,42,0.30297382708046355,[-0.    0.56],0.09179313989578262,0.04521842912120744,0.31279076469463796,0.025567082436695133,0.6303662361896536
original_shape_MeshVolume,wavelet-HLL_gldm_LowGrayLevelEmphasis,spearman,one-sided,42,-0.31626286362531403,[-0.57 -0.01],0.10002219890848398,0.05386949116020112,-0.32748914806095225,0.020651856678204794,0.6648101450305332
original_shape_MeshVolume,wavelet-HLL_gldm_SmallDependenceEmphasis,spearman,one-sided,42,-0.40410015395835025,[-0.63 -0.11],0.16329693442916238,0.12038908491270917,-0.42853965368977726,0.0039761487394698375,0.8561944221791182
original_shape_MeshVolume,wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,spearman,one-sided,42,-0.3558058504173082,[-0.6  -0.06],0.1265978031911839,0.08180794694457794,-0.3720755624568558,0.01037376220425137,0.7602417855047829
original_shape_MeshVolume,wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,spearman,one-sided,42,-0.4566080544526375,[-0.67 -0.18],0.2084909153910228,0.16790070592389583,-0.4930174434194956,0.0011847882433920172,0.9292244433649524
original_shape_MeshVolume,wavelet-HLL_ngtdm_Busyness,spearman,one-sided,42,0.9515436350376795,[0.91 0.97],0.9054352893807206,0.9005858170412704,1.8478561223168555,2.149045359741386e-22,1.0
original_shape_MeshVolume,wavelet-HLL_ngtdm_Coarseness,spearman,one-sided,42,-0.9967587715744269,[-1.   -0.99],0.9935280487105607,0.9931961537726407,-3.2116640645353742,1.0452337184258926e-45,1.0
original_shape_MeshVolume,wavelet-HLL_ngtdm_Complexity,spearman,one-sided,42,-0.22923588039867113,[-0.5   0.08],0.052549088862153856,0.003961862649956571,-0.23338281698598012,0.07210231384949932,0.433018370563612
original_shape_MeshVolume,wavelet-HLL_ngtdm_Contrast,spearman,one-sided,42,-0.5609756097560976,[-0.74 -0.31],0.3146936347412255,0.2795497185741088,-0.6342556627317537,5.5676192282539405e-05,0.9908630291262455
original_shape_MeshVolume,wavelet-HLL_ngtdm_Strength,spearman,one-sided,42,-0.9228587634713558,[-0.96 -0.86],0.8516682973158798,0.8440615433320787,-1.6079651573192228,1.798567774099422e-18,1.0
original_shape_MeshVolume,wavelet-HLH_firstorder_10Percentile,spearman,one-sided,42,-0.37541528239202654,[-0.61 -0.08],0.14093663425348504,0.09688210267674069,-0.39471200549768254,0.007144880318346582,0.8023203619569077
original_shape_MeshVolume,wavelet-HLH_firstorder_90Percentile,spearman,one-sided,42,0.3921076087837291,[0.1  0.62],0.15374837686609394,0.11035085773102171,0.41428813244820695,0.005111093822515303,0.8348382907189553
original_shape_MeshVolume,wavelet-HLH_firstorder_Energy,spearman,one-sided,42,0.9980552629446562,[1. 1.],0.9961143078915268,0.9959150416295538,3.4674014200403174,3.8666850777334723e-50,1.0
original_shape_MeshVolume,wavelet-HLH_firstorder_Entropy,spearman,one-sided,42,-0.4071793209626448,[-0.63 -0.12],0.16579499941960052,0.12301525580009276,-0.43222527055491705,0.003722484748956885,0.8613993491513294
original_shape_MeshVolume,wavelet-HLH_firstorder_InterquartileRange,spearman,one-sided,42,0.3259865489020339,[0.02 0.57],0.10626723006505813,0.06043478032480465,0.33833097937321616,0.017567057306629906,0.6893732846429813
original_shape_MeshVolume,wavelet-HLH_firstorder_Kurtosis,spearman,one-sided,42,0.3891905032007131,[0.1  0.62],0.15146924778162427,0.10795485023196394,0.4108456816631661,0.005425746659272457,0.8293861750854034
