Features,ICC_value,p_value,Repeatability
original_gldm_SmallDependenceEmphasis,0.755288926320391,1.69808046055722e-05,Good
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.522491620666426,0.0055370318689273,Poor
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.287550879147711,0.0933425145066821,Poor
original_ngtdm_Complexity,0.437085315605516,0.0192061680578563,Poor
original_ngtdm_Contrast,0.737539042432606,3.23811676953142e-05,Poor
log.sigma.3.0.mm.3D_firstorder_10Percentile,0.507330059278988,0.00706440347944,Poor
log.sigma.3.0.mm.3D_firstorder_90Percentile,0.764846274304622,1.17263357499305e-05,Good
log.sigma.3.0.mm.3D_firstorder_Entropy,0.488042274513277,0.0094864297772934,Poor
log.sigma.3.0.mm.3D_firstorder_InterquartileRange,0.785524229818442,4.94675867857105e-06,Good
log.sigma.3.0.mm.3D_firstorder_Kurtosis,0.434182848427023,0.0199347209013183,Poor
log.sigma.3.0.mm.3D_firstorder_Maximum,0.631565204705894,0.0006577722434134,Poor
log.sigma.3.0.mm.3D_firstorder_MeanAbsoluteDeviation,0.776563566341573,7.27048543801627e-06,Good
log.sigma.3.0.mm.3D_firstorder_Mean,0.654817845628584,0.0003750708272851,Poor
log.sigma.3.0.mm.3D_firstorder_Median,0.474052392777893,0.0116314450845742,Poor
log.sigma.3.0.mm.3D_firstorder_Minimum,0.663179520502749,0.0003029248104092,Poor
log.sigma.3.0.mm.3D_firstorder_Range,0.695405994554517,0.0001245954030353,Poor
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,0.78105295764514,6.00809365193146e-06,Good
log.sigma.3.0.mm.3D_firstorder_RootMeanSquared,0.654959436477895,0.0003737364401365,Poor
log.sigma.3.0.mm.3D_firstorder_Skewness,0.562549939352268,0.0027519239923286,Poor
log.sigma.3.0.mm.3D_firstorder_Uniformity,0.406069695259215,0.0281649483022156,Poor
log.sigma.3.0.mm.3D_firstorder_Variance,0.746813584172361,2.32616985326114e-05,Poor
log.sigma.3.0.mm.3D_glcm_Autocorrelation,0.453841649184782,0.0153992815315166,Poor
log.sigma.3.0.mm.3D_glcm_ClusterProminence,0.69852127490102,0.0001136596139234,Poor
log.sigma.3.0.mm.3D_glcm_ClusterShade,0.693155679778728,0.0001330508705397,Poor
log.sigma.3.0.mm.3D_glcm_ClusterTendency,0.651853697660369,0.0004039588135902,Poor
log.sigma.3.0.mm.3D_glcm_Contrast,0.54128327788683,0.0040308345643736,Poor
log.sigma.3.0.mm.3D_glcm_Correlation,0.680325539532599,0.0001913936209149,Poor
log.sigma.3.0.mm.3D_glcm_DifferenceAverage,0.632479697722966,0.0006439463542744,Poor
log.sigma.3.0.mm.3D_glcm_DifferenceEntropy,0.640971226464414,0.0005269589833533,Poor
log.sigma.3.0.mm.3D_glcm_DifferenceVariance,0.512866487057693,0.0064712037672389,Poor
log.sigma.3.0.mm.3D_glcm_Id,0.693875930280359,0.0001302921273492,Poor
log.sigma.3.0.mm.3D_glcm_Idm,0.698166059649422,0.0001148629873349,Poor
log.sigma.3.0.mm.3D_glcm_Idmn,0.558260623160514,0.0029781138263295,Poor
log.sigma.3.0.mm.3D_glcm_Idn,0.649427721760312,0.0004290004626291,Poor
log.sigma.3.0.mm.3D_glcm_Imc1,0.742762516253044,2.69230356639318e-05,Poor
log.sigma.3.0.mm.3D_glcm_Imc2,0.738612292974501,3.1186913019706e-05,Poor
log.sigma.3.0.mm.3D_glcm_InverseVariance,0.706487181152005,8.93945108600297e-05,Poor
log.sigma.3.0.mm.3D_glcm_JointAverage,0.498944261388062,0.0080466438489961,Poor
log.sigma.3.0.mm.3D_glcm_JointEnergy,0.513293385033073,0.006427208543936,Poor
log.sigma.3.0.mm.3D_glcm_JointEntropy,0.586097964844748,0.0017495266208474,Poor
log.sigma.3.0.mm.3D_glcm_MCC,0.528073913596103,0.0050480003177207,Poor
log.sigma.3.0.mm.3D_glcm_MaximumProbability,0.575699418035399,0.0021457675321667,Poor
log.sigma.3.0.mm.3D_glcm_SumAverage,0.498944261303824,0.008046643859392,Poor
log.sigma.3.0.mm.3D_glcm_SumEntropy,0.473004499401668,0.0118065871629079,Poor
log.sigma.3.0.mm.3D_glcm_SumSquares,0.635838142811099,0.000595275077647,Poor
log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,0.398099108680108,0.0309172437388671,Poor
log.sigma.3.0.mm.3D_glrlm_GrayLevelVariance,0.670419631120809,0.0002504269007705,Poor
log.sigma.3.0.mm.3D_glrlm_HighGrayLevelRunEmphasis,0.481799586572504,0.0104002511532808,Poor
log.sigma.3.0.mm.3D_glrlm_LongRunEmphasis,0.68462846427096,0.0001697596486363,Poor
log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,0.44236249298845,0.01793521510781,Poor
log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,0.607350231817615,0.0011278674923875,Poor
log.sigma.3.0.mm.3D_glrlm_LowGrayLevelRunEmphasis,0.659545721284362,0.0003326594129133,Poor
log.sigma.3.0.mm.3D_glrlm_RunEntropy,0.571726420600545,0.00231578581292,Poor
log.sigma.3.0.mm.3D_glrlm_RunLengthNonUniformityNormalized,0.727559756355119,4.55427650760707e-05,Poor
log.sigma.3.0.mm.3D_glrlm_RunPercentage,0.704804871230788,9.41056163835018e-05,Poor
log.sigma.3.0.mm.3D_glrlm_RunVariance,0.676577885200837,0.0002121337873173,Poor
log.sigma.3.0.mm.3D_glrlm_ShortRunEmphasis,0.717964995851903,6.23697933308e-05,Poor
log.sigma.3.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis,0.497969022102446,0.0081677322589345,Poor
log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,0.671224960866376,0.0002451037155568,Poor
log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,0.624151621849693,0.0007794927452776,Poor
log.sigma.3.0.mm.3D_glszm_GrayLevelVariance,0.718635987642488,6.10384154892497e-05,Poor
log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis,0.550965909102378,0.003398255502776,Poor
log.sigma.3.0.mm.3D_glszm_LargeAreaEmphasis,0.634605623698989,0.0006127591270312,Poor
log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,0.605586661732446,0.0011710789633902,Poor
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,0.622678283693001,0.0008058348915314,Poor
log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,0.777935530333946,6.86202259413206e-06,Good
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity,0.885867250391379,1.07208759622851e-08,Good
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,0.556769974454665,0.0030602547896917,Poor
log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis,0.563271446589365,0.0027153217733235,Poor
log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,0.693475522185295,0.0001318196165741,Poor
log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,0.496807125200947,0.0083139221994513,Poor
log.sigma.3.0.mm.3D_glszm_ZoneEntropy,0.343029475876403,0.0558735620285482,Poor
log.sigma.3.0.mm.3D_glszm_ZonePercentage,0.663443786288288,0.0003008544569725,Poor
log.sigma.3.0.mm.3D_glszm_ZoneVariance,0.638302090563819,0.000561595021354,Poor
log.sigma.3.0.mm.3D_gldm_DependenceEntropy,0.838159668039109,3.33293355420925e-07,Good
log.sigma.3.0.mm.3D_gldm_DependenceNonUniformityNormalized,0.68567352393844,0.0001648362215445,Poor
log.sigma.3.0.mm.3D_gldm_DependenceVariance,0.727770398682367,4.5222910352014e-05,Poor
log.sigma.3.0.mm.3D_gldm_GrayLevelVariance,0.653489295027389,0.0003877916862625,Poor
log.sigma.3.0.mm.3D_gldm_HighGrayLevelEmphasis,0.475907151933451,0.011326555702951,Poor
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,0.717863381668423,6.25736021347243e-05,Poor
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.611529404716618,0.0010308223371284,Poor
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.419448344676441,0.0239731542932662,Poor
log.sigma.3.0.mm.3D_gldm_LowGrayLevelEmphasis,0.626521842136178,0.000738651788658,Poor
log.sigma.3.0.mm.3D_gldm_SmallDependenceEmphasis,0.66096470206602,0.0003207630184808,Poor
log.sigma.3.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.706050968090428,9.05959737630489e-05,Poor
log.sigma.3.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.596215433050141,0.0014249116169839,Poor
log.sigma.3.0.mm.3D_ngtdm_Busyness,0.851982757744249,1.39593737774602e-07,Good
log.sigma.3.0.mm.3D_ngtdm_Complexity,0.782856390093882,5.55806923164429e-06,Good
log.sigma.3.0.mm.3D_ngtdm_Contrast,0.584404008886321,0.0018095219728649,Poor
log.sigma.4.0.mm.3D_firstorder_10Percentile,0.6586193153706,0.0003406288490244,Poor
log.sigma.4.0.mm.3D_firstorder_90Percentile,0.739739208909268,2.99745274073454e-05,Poor
log.sigma.4.0.mm.3D_firstorder_Entropy,0.469799632402295,0.0123553909280185,Poor
log.sigma.4.0.mm.3D_firstorder_InterquartileRange,0.684756737769774,0.0001691485777246,Poor
log.sigma.4.0.mm.3D_firstorder_Kurtosis,0.512988652366849,0.0064585886102498,Poor
log.sigma.4.0.mm.3D_firstorder_Maximum,0.499616971190807,0.0079639707510313,Poor
log.sigma.4.0.mm.3D_firstorder_MeanAbsoluteDeviation,0.676651932363747,0.0002117059697297,Poor
log.sigma.4.0.mm.3D_firstorder_Mean,0.682185352056323,0.0001817676700997,Poor
log.sigma.4.0.mm.3D_firstorder_Median,0.578299019637112,0.0020402803388867,Poor
log.sigma.4.0.mm.3D_firstorder_Minimum,0.554155058156733,0.0032088983857623,Poor
log.sigma.4.0.mm.3D_firstorder_Range,0.623990753807084,0.0007823328573395,Poor
log.sigma.4.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,0.693123557449421,0.0001331750756159,Poor
log.sigma.4.0.mm.3D_firstorder_RootMeanSquared,0.682253724619887,0.0001814219042265,Poor
log.sigma.4.0.mm.3D_firstorder_Skewness,0.503297409356338,0.0075237823694056,Poor
log.sigma.4.0.mm.3D_firstorder_Uniformity,0.376271288591281,0.0395083486237349,Poor
log.sigma.4.0.mm.3D_firstorder_Variance,0.592589882563897,0.0015348357208759,Poor
