X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,wavelet-HHH_glcm_SumAverage,spearman,one-sided,42,-0.10380034032898469,[-0.4   0.21],0.010774510652413046,-0.039955001621822195,-0.10417556836246894,0.2565003257934324,0.16227599567135637
original_shape_MeshVolume,wavelet-HHH_glcm_SumEntropy,spearman,one-sided,42,-0.14058828295924158,[-0.43  0.17],0.01976506530542778,-0.030503392884037472,-0.14152567037220026,0.18725909114097866,0.22690035836751676
original_shape_MeshVolume,wavelet-HHH_glcm_SumSquares,spearman,one-sided,42,-0.20784377278988736,[-0.48  0.1 ],0.04319903388753432,-0.005867682323361212,-0.2109167070151313,0.09328252868376055,0.37804295012362926
original_shape_MeshVolume,wavelet-HHH_glrlm_GrayLevelNonUniformity,spearman,one-sided,42,0.9747184182805283,[0.95 0.99],0.9500759949352949,0.9475157895473614,2.1790524794048842,5.942010994143189e-28,1.0
original_shape_MeshVolume,wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,spearman,one-sided,42,0.19147556924074224,[-0.12  0.47],0.036662893616066276,-0.012739009275417601,0.19386844808724282,0.11223405967535381,0.33785012086919797
original_shape_MeshVolume,wavelet-HHH_glrlm_GrayLevelVariance,spearman,one-sided,42,-0.2836885179483024,[-0.54  0.02],0.0804791752157043,0.03332426112420195,-0.29168888219626793,0.0343312003901247,0.5790929355396923
original_shape_MeshVolume,wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,spearman,one-sided,42,-0.10752775301839398,[-0.4  0.2],0.011562217669184737,-0.039126899373421065,-0.10794507170637783,0.24894972639445356,0.1681950599456799
original_shape_MeshVolume,wavelet-HHH_glrlm_LongRunEmphasis,spearman,one-sided,42,0.018231909893849773,[-0.29  0.32],0.00033240253837745723,-0.050932602459654586,0.018233930407882206,0.45438112571400213,0.0632104892047705
original_shape_MeshVolume,wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,spearman,one-sided,42,-0.12340977230370312,[-0.41  0.19],0.01522997190005185,-0.0352710551819968,-0.12404206948203489,0.2180977768024614,0.19500835316146753
original_shape_MeshVolume,wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,spearman,one-sided,42,-0.3003808443400049,[-0.55  0.  ],0.09022865164641425,0.04357371070520466,-0.30993816704314703,0.026627969141522188,0.6235476265454657
original_shape_MeshVolume,wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,spearman,one-sided,42,-0.3284174702212139,[-0.57 -0.03],0.10785803474650194,0.062107164733501974,-0.34105336435685596,0.01685809261776926,0.6954158855663098
original_shape_MeshVolume,wavelet-HHH_glrlm_RunEntropy,spearman,one-sided,42,-0.26715825297787865,[-0.53  0.04],0.0713735321341922,0.023751661987227557,-0.2738011476432995,0.0435981766922926,0.5345075508574216
original_shape_MeshVolume,wavelet-HHH_glrlm_RunLengthNonUniformity,spearman,one-sided,42,0.9969208329957053,[0.99 1.  ],0.993851147260851,0.9935358214793562,3.237351291204031,3.7525218554003774e-46,1.0
original_shape_MeshVolume,wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,spearman,one-sided,42,0.009480593144801881,[-0.3   0.31],8.988164637726442e-05,-0.05118756032047522,0.009480877203894553,0.47624175589235085,0.056631211772417964
original_shape_MeshVolume,wavelet-HHH_glrlm_RunPercentage,spearman,one-sided,42,0.005753180455392594,[-0.3   0.31],3.309908535231134e-05,-0.05124725480770653,0.0057532439316568505,0.48557741966957946,0.05399855217807763
original_shape_MeshVolume,wavelet-HHH_glrlm_RunVariance,spearman,one-sided,42,0.02422818248116036,[-0.28  0.33],0.0005870048263404057,-0.050664943644103566,0.024232924838227636,0.4394750582394079,0.06805317427922315
original_shape_MeshVolume,wavelet-HHH_glrlm_ShortRunEmphasis,spearman,one-sided,42,0.009480593144801881,[-0.3   0.31],8.988164637726442e-05,-0.05118756032047522,0.009480877203894553,0.47624175589235085,0.056631211772417964
original_shape_MeshVolume,wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,spearman,one-sided,42,-0.09245604083947818,[-0.39  0.22],0.008548119487711258,-0.042295566692406084,-0.09272084206509916,0.28016523331412135,0.14513135932207794
original_shape_MeshVolume,wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,spearman,one-sided,42,-0.31982821489344465,[-0.57 -0.02],0.10229008704192741,0.05625368124920582,-0.3314557377283566,0.01947319812506174,0.6738862285111719
original_shape_MeshVolume,wavelet-HHH_glszm_GrayLevelNonUniformity,spearman,one-sided,42,0.9930313588850175,[0.99 1.  ],0.9861112797290243,0.9853990376638461,2.82799590540993,4.5009288432469375e-39,1.0
original_shape_MeshVolume,wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,spearman,one-sided,42,0.3164249250465927,[0.01 0.57],0.1001247331907418,0.0539772836107798,0.327669231006117,0.020597049196168567,0.6652243468988727
original_shape_MeshVolume,wavelet-HHH_glszm_GrayLevelVariance,spearman,one-sided,42,-0.3499716392512763,[-0.59 -0.05],0.12248014828022546,0.07747913024331388,-0.3654114346954178,0.011542986980301644,0.7469807496382258
original_shape_MeshVolume,wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,spearman,one-sided,42,-0.11174134997163926,[-0.4  0.2],0.012486129293484366,-0.03815560766582404,-0.11220993783690728,0.24055340269708808,0.17505721537624253
original_shape_MeshVolume,wavelet-HHH_glszm_LargeAreaEmphasis,spearman,one-sided,42,0.04562029008994409,[-0.26  0.34],0.002081210867890651,-0.04909411165170452,0.04565197815026435,0.3871020149376362,0.08769964091823934
original_shape_MeshVolume,wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,spearman,one-sided,42,-0.008184101774572563,[-0.31  0.3 ],6.697952185656179e-05,-0.05121163691292008,-0.008184284504324006,0.4794877725646824,0.055704248654871356
original_shape_MeshVolume,wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,spearman,one-sided,42,-0.018069848472571107,[-0.32  0.29],0.0003265194238216804,-0.05093878727239254,-0.018071815576801403,0.4547849446281335,0.06308344619082414
original_shape_MeshVolume,wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,spearman,one-sided,42,-0.41787537476703673,[-0.64 -0.13],0.1746198288366914,0.13229264057190626,-0.4451151288420872,0.0029466661714402306,0.8785844369137688
